ROI,Subject,Session/Partition,LocalizerSize
1,456_FED_20161019b_3T1_PL2017,1,37
1,457_FED_20161020_3T2_PL2017,1,37
1,458_FED_20161021_3T2_PL2017,1,37
1,459_FED_20161021_3T2_PL2017,1,37
1,460_FED_20161025_3T1_PL2017,1,37
1,461_FED_20161025a_3T1_PL2017,1,37
1,462_FED_20161026_3T1_PL2017,1,37
1,463_FED_20161026_3T1_PL2017,1,37
1,464_FED_20161028_3T2_PL2017,1,37
1,465_FED_20161027_3T1_PL2017,1,37
1,466_FED_20161027_3T1_PL2017,1,37
1,467_FED_20161028_3T1_PL2017,1,37
1,468_FED_20161031_3T1_PL2017,1,37
1,469_FED_20161031_3T1_PL2017,1,37
1,470_FED_20161101_3T1_PL2017,1,37
1,471_FED_20161101_3T1_PL2017,1,37
1,472_FED_20161101a_3T2_PL2017,1,37
1,473_FED_20190731a_3T2_PL2017,1,37
1,473_FED_20170918b_3T2_PL2017,1,37
1,473_FED_20161102a_3T1_PL2017,1,37
1,474_FED_20161102_3T1_PL2017,1,37
1,475_FED_20161103a_3T2_PL2017,1,37
1,477_FED_20161103_3T2_PL2017,1,37
1,478_FED_20161103_3T2_PL2017,1,37
1,479_FED_20161104a_3T2_PL2017,1,37
1,480_FED_20161104_3T1_PL2017,1,37
1,481_FED_20161107_3T1_PL2017,1,37
1,482_FED_20161104_3T1_PL2017,1,37
1,484_FED_20161108_3T1_PL2017,1,37
1,488_FED_20161109_3T2_PL2017,1,37
1,489_FED_20161114d_3T1_PL2017,1,37
1,490_FED_20161115_3T1_PL2017,1,37
1,491_FED_20161115_3T1_PL2017,1,37
1,492_FED_20161116_3T2_PL2017,1,37
1,493_FED_20161117_3T1_PL2017,1,37
1,494_FED_20161114a_3T1_PL2017,1,37
1,494_FED_20170106a_3T2_PL2017,1,37
1,495_FED_20161114_3T2_PL2017,1,37
1,496_FED_20161118_3T1_PL2017,1,37
1,497_FED_20161118_3T1_PL2017,1,37
1,498_FED_20161121a_3T1_PL2017,1,37
1,499_FED_20161121b_3T1_PL2017,1,37
1,500_FED_20161121_3T1_PL2017,1,37
