subject,index,weight,i,j,k,x(mm),y(mm),z(mm)
43,294592,0.2500,25,77,30,42,26,-14
43,294683,0.5000,25,78,30,42,28,-14
43,294774,1.0000,25,79,30,42,30,-14
43,302048,0.7500,19,50,31,54,-28,-12
43,302049,0.5000,20,50,31,52,-28,-12
43,302050,0.2500,21,50,31,50,-28,-12
43,302139,0.5000,19,51,31,54,-26,-12
43,302140,0.2500,20,51,31,52,-26,-12
43,302320,0.5000,18,53,31,56,-22,-12
43,302321,0.5000,19,53,31,54,-22,-12
43,302372,0.2500,70,53,31,-48,-22,-12
43,302373,0.5000,71,53,31,-50,-22,-12
43,302374,0.5000,72,53,31,-52,-22,-12
43,302377,0.5000,75,53,31,-58,-22,-12
43,302407,0.2500,14,54,31,64,-20,-12
43,302411,0.5000,18,54,31,56,-20,-12
43,302416,0.5000,23,54,31,46,-20,-12
43,302463,0.5000,70,54,31,-48,-20,-12
43,302464,0.7500,71,54,31,-50,-20,-12
43,302465,0.5000,72,54,31,-52,-20,-12
43,302468,0.2500,75,54,31,-58,-20,-12
43,302498,0.2500,14,55,31,64,-18,-12
43,302506,0.2500,22,55,31,48,-18,-12
43,302507,0.2500,23,55,31,46,-18,-12
43,302508,0.2500,24,55,31,44,-18,-12
43,302554,0.2500,70,55,31,-48,-18,-12
43,302555,0.7500,71,55,31,-50,-18,-12
43,302597,0.2500,22,56,31,48,-16,-12
43,302598,0.2500,23,56,31,46,-16,-12
43,302830,0.2500,73,58,31,-54,-12,-12
43,302831,0.2500,74,58,31,-56,-12,-12
43,302832,0.2500,75,58,31,-58,-12,-12
43,302865,0.2500,17,59,31,58,-10,-12
43,302921,0.7500,73,59,31,-54,-10,-12
43,302922,0.5000,74,59,31,-56,-10,-12
43,302923,0.2500,75,59,31,-58,-10,-12
43,302956,0.2500,17,60,31,58,-8,-12
43,303010,0.2500,71,60,31,-50,-8,-12
43,303011,1.0000,72,60,31,-52,-8,-12
43,303012,1.0000,73,60,31,-54,-8,-12
43,303013,0.5000,74,60,31,-56,-8,-12
43,303014,0.2500,75,60,31,-58,-8,-12
43,303047,0.2500,17,61,31,58,-6,-12
43,303101,0.5000,71,61,31,-50,-6,-12
43,303102,1.0000,72,61,31,-52,-6,-12
43,303103,1.0000,73,61,31,-54,-6,-12
43,303137,0.2500,16,62,31,60,-4,-12
43,303138,0.2500,17,62,31,58,-4,-12
43,303192,0.7500,71,62,31,-50,-4,-12
43,303193,0.7500,72,62,31,-52,-4,-12
43,303194,0.2500,73,62,31,-54,-4,-12
43,303228,0.2500,16,63,31,60,-2,-12
43,303229,0.2500,17,63,31,58,-2,-12
43,303283,0.2500,71,63,31,-50,-2,-12
43,303284,0.2500,72,63,31,-52,-2,-12
43,303319,0.2500,16,64,31,60,0,-12
43,303505,0.2500,20,66,31,52,4,-12
43,303741,0.5000,74,68,31,-56,8,-12
43,303776,0.2500,18,69,31,56,10,-12
43,303777,0.2500,19,69,31,54,10,-12
43,303831,0.2500,73,69,31,-54,10,-12
43,303832,0.5000,74,69,31,-56,10,-12
43,303867,0.2500,18,70,31,56,12,-12
43,303868,0.2500,19,70,31,54,12,-12
43,303869,0.5000,20,70,31,52,12,-12
43,303919,0.2500,70,70,31,-48,12,-12
43,303920,0.2500,71,70,31,-50,12,-12
43,303921,0.2500,72,70,31,-52,12,-12
43,303922,0.5000,73,70,31,-54,12,-12
43,303959,1.0000,19,71,31,54,14,-12
43,303960,0.7500,20,71,31,52,14,-12
43,303961,0.5000,21,71,31,50,14,-12
43,304011,0.2500,71,71,31,-50,14,-12
43,304012,0.5000,72,71,31,-52,14,-12
43,304051,0.7500,20,72,31,52,16,-12
43,304052,0.7500,21,72,31,50,16,-12
43,304053,0.2500,22,72,31,48,16,-12
43,304235,0.2500,22,74,31,48,20,-12
43,304326,0.2500,22,75,31,48,22,-12
43,304327,0.7500,23,75,31,46,22,-12
43,304418,0.5000,23,76,31,46,24,-12
43,304419,0.5000,24,76,31,44,24,-12
43,304510,0.2500,24,77,31,44,26,-12
43,304511,0.2500,25,77,31,42,26,-12
43,304602,0.2500,25,78,31,42,28,-12
43,304692,0.2500,24,79,31,44,30,-12
43,304693,0.7500,25,79,31,42,30,-12
43,304694,0.2500,26,79,31,40,30,-12
43,304783,0.2500,24,80,31,44,32,-12
43,304784,1.0000,25,80,31,42,32,-12
